Diet Type,GHG Emissions,Land Use,Water Usage,Biodiversity Impact,Eutrophication,Acidification
fish,5.452488592039666,7.319217658908917,845.5949528909249,274.8575050563917,23.065932187088332,25.515539673081665
meat,7.9371793365709165,13.692232765381084,914.7691923732166,339.61791189303335,31.951859903153334,35.725883740520835
meat100,13.624875999997833,28.558030488128583,1172.1722059941667,507.34622461111667,50.675962938221666,55.79851725236583
meat50,5.7665503438945,8.607968830806582,782.3290006154083,274.5922990097175,23.974645279213334,27.01685980826583
vegan,2.5510446270756666,4.433824901909416,443.40115649203335,122.01184664536667,11.202767862061835,11.281311318300666
veggie,4.758030222149666,6.9218136136054165,600.4377755862166,267.5727129562108,18.821006998407498,22.7706088256625
